,,,,,,,,Alli Dashboard (Source of Truth),,,DCM,,Platform,,,"Source of Truth Dash vs. 
Source of Truth Inputs",,,"Source of Truth Inputs vs. 
Platform",,"Source of Truth Dash vs. 
Integrated Reporting Dash",,,INCLUDE IN NOTE TO CS,,,,,
Date Range,QAer,Tactic,Country,Platform,Campaign Name,Funnel,Link to Campaign,Alli Media Spend,Alli Impressions,Alli Clicks,DCM Impressions,DCM Clicks,"Platform/
Mailgun Spend ",Platform Impressions ,Platform Clicks ,Impresssion Delta,Click Delta,Spend Delta,Impresssion Delta,Click Delta,Metrics Match,KPI,Benchmark,% to Benchmark,Complete,Discrepancy Notes,"Flagged to Analytics?
(Make sure to include @supportanalytics on request)",Emoji'd in Slack & Tagged BW CS,
,Noel B,Online Video,US,Amazon,Amazon Online Video Brand +,Consideration,Best Western - US - 2026 - Online Video Brand+,"$25,348.00","12,584,452","5,604","12,584,452","5,604","$25,348.20","14,506,860","6,975",0.00%,0.00%,0.00%,-13.25%,-19.66%,TRUE,0.04%,0.69%,-94%,FALSE,,FALSE,,
,Noel B,,US,Amazon,Amazon Online Video Remarketing,Consideration,Best Western - US - 2026 - Online Video Remarketing,"$3,851.00","417,501",209,"417,501",209,"$3,850.67","417,297",195,0.00%,0.00%,0.01%,0.05%,7.18%,TRUE,,,,FALSE,,FALSE,,
,Noel B,,US,Google,Demand Gen Video Mid Funnel,Consideration,Best Western - US - 2026 - Demand Gen Video Mid-Funnel,"$13,489.00","11,454,596","89,229","11,454,596","89,229","$13,489.00","11,455,587","89,113",0.00%,0.00%,0.00%,-0.01%,0.13%,TRUE,0.78%,1.00%,-22%,FALSE,,FALSE,,
,Noel B,,CA,Google,Demand Gen Video Mid Funnel,Consideration,Best Western - CA - 2026 - Demand Gen Video Mid-Funnel,"$4,649.00","618,820","7,046","618,820","7,048","$4,643.75","618,550","6,974",0.00%,-0.03%,0.11%,0.04%,1.06%,TRUE,1.14%,1.00%,14%,FALSE,,FALSE,,
,Noel B,,US,Google,Demand Gen Video Low Funnel with Hotel Feeds,Conversion,Best Western - US - 2026 - Demand Gen Video Hotel Feeds,"$12,791.00","1,116,788","3,174","1,116,788","3,174","$12,791.17","1,114,918","3,154",0.00%,0.00%,0.00%,0.17%,0.63%,TRUE,,,,FALSE,,FALSE,,
,Noel B,,CA,Google,Demand Gen Video Low Funnel with Hotel Feeds,Conversion,Best Western - CA - 2026 - Demand Gen Video Hotel Feeds,"$3,736.00","511,854",956,"511,854",956,"$3,735.72","510,424",948,0.00%,0.00%,0.01%,0.28%,0.84%,TRUE,,,,FALSE,,FALSE,,
,Noel B,,US,Google,YouTube Shorts Select,Consideration,Best Western - US - 2026 - Spring - YouTube Shorts Select,"$9,505.00","864,046","1,084","864,046","1,084","$9,504.42","864,038","1,084",0.00%,0.00%,0.01%,0.00%,0.00%,TRUE,,,,FALSE,,FALSE,,
,Noel B,Video,US,Google,YouTube Sponsorship (Winter Olympics),Awareness,YouTube Winter Olympics Live Sports 2026,"$42,654.00","980,563",0,"980,562",0,"$42,653.75","980,546",0,0.00%,#DIV/0!,0.00%,0.00%,#DIV/0!,TRUE,NA,NA,NA,FALSE,,FALSE,,
,Noel B,,US,Google,,Awareness,YouTube Winter Olympics Podcast Bundle 2026,"$3,451.00","88,479",41,"88,479",41,"$3,450.72","88,480",42,0.00%,0.00%,0.01%,0.00%,-2.38%,TRUE,,,,FALSE,,FALSE,,
,Noel B,,US,Google,,Awareness,YouTube Winter Olympics Podcast Bundle 2026 ,$0.00,0,0,0,0,"$1,725.13","44,234",20,#DIV/0!,#DIV/0!,-100.00%,-100.00%,-100.00%,TRUE,,,,FALSE,,FALSE,,
,Noel B,,US,Google,,Awareness,YouTube Winter Olympics Sports on Shorts 2026,"$45,720.00","3,544,326","3,501","3,544,326","3,501","$45,719.73","3,544,165","3,500",0.00%,0.00%,0.00%,0.00%,0.03%,TRUE,,,,FALSE,,FALSE,,
,Noel B,,US,Google,Youtube NBA Lineup,Awareness,YouTube NBA Lineup :15s February 2026,"$10,606.00","249,545",50,"249,544",50,"$10,605.37","249,538",50,0.00%,0.00%,0.01%,0.00%,0.00%,TRUE,,,,FALSE,,FALSE,,
,Noel B,,US,Google,YouTube Pause Ads,Awareness,Best Western - US - 2026 - Spring - YouTube Pause Ads,"$39,736.00","1,892,202",0,"1,892,202",0,"$39,736.01","1,892,191",0,0.00%,#DIV/0!,0.00%,0.00%,#DIV/0!,TRUE,NA,NA,NA,FALSE,,FALSE,,
,Noel B,,US,Trade Desk,NBC Winter Olympics,Awareness,Best Western - US - 2026 - CTV - NBC - Winter Olympics,"$129,355.00","2,086,214",0,"2,086,214",0,"$130,363.83","2,089,536",0,0.00%,#DIV/0!,-0.77%,-0.16%,#DIV/0!,TRUE,,,,FALSE,,FALSE,,
,Noel B,,US,Trade Desk,Best Western - US - 2026 - CTV - Live Sports,Awareness,Best Western - US - 2026 - CTV - Live Sports,"$10,684.00","287,247",0,"287,247",0,"$10,452.65","280,900",0,0.00%,#DIV/0!,2.21%,2.26%,#DIV/0!,TRUE,,,,FALSE,,FALSE,,
,Noel B,,US,Trade Desk,Best Western - US - 2026 - CTV - Hulu,Awareness,Best Western - US - 2026 - CTV - Hulu,"$20,615.00","785,051",0,"785,051",0,"$20,568.11","783,374",0,0.00%,#DIV/0!,0.23%,0.21%,#DIV/0!,TRUE,NA,NA,NA,FALSE,,FALSE,,
,Noel B,,US,Trade Desk,TTD Netflix,Awareness,Best Western - US - 2026 - CTV - Netflix,"$31,765.00","1,153,100",0,"1,153,100",0,"$31,395.93","1,081,990",0,0.00%,#DIV/0!,1.18%,6.57%,#DIV/0!,TRUE,,,,FALSE,,FALSE,,
,Noel B,,CA,Trade Desk,TTD Netflix,Awareness,Best Western - CA - 2026 - CTV - Netflix,"$10,356.00","264,443",0,"264,443",0,"$10,294.02","248,589",0,0.00%,#DIV/0!,0.60%,6.38%,#DIV/0!,TRUE,,,,FALSE,,FALSE,,
,Noel B,,US,Amazon,Amazon Prime,Awareness,Best Western - US - 2026 - Amazon Prime Video,"$25,178.00","1,038,086",10,"1,038,086",10,"$25,177.71","1,007,608",0,0.00%,0.00%,0.00%,3.02%,#DIV/0!,TRUE,NA,NA,NA,FALSE,,FALSE,,
,Noel B,,CA,Amazon,Amazon Prime,Awareness,Best Western - CA - 2026 - Amazon Prime Video,"$9,575.00","612,991",4,"612,991",4,"$9,574.42","606,103",0,0.00%,0.00%,0.01%,1.14%,#DIV/0!,TRUE,NA,NA,NA,FALSE,,FALSE,,
,Noel B,Audio,US,Trade Desk,Spotify,Consideration,Best Western - US - 2026 - Spring - Audio - Spotify,"$21,866.00","1,699,066","1,652","1,699,066","1,652","$21,629.32","1,723,826","1,696",0.00%,0.00%,1.09%,-1.44%,-2.59%,TRUE,NA,NA,NA,FALSE,,FALSE,,
,Noel B,,CA,Trade Desk,Spotify,Consideration,Best Western - CA - 2026 - Spring - Audio - Spotify,"$6,328.00","735,132","1,671","735,132","1,671","$6,332.92","744,146","1,734",0.00%,0.00%,-0.08%,-1.21%,-3.63%,TRUE,NA,NA,NA,FALSE,,FALSE,,
,Noel B,,US,Trade Desk,Amazon,Consideration,Best Western - US - 2026 - Audio,"$10,202.00","1,274,148",0,"1,274,148",0,"$10,201.77","1,284,570",4,0.00%,#DIV/0!,0.00%,-0.81%,-100.00%,TRUE,NA,NA,NA,FALSE,"Platform discrepancy, no concerns here",FALSE,,
,Noel B,,CA,Trade Desk,Amazon,Consideration,Best Western - CA - 2026 - Audio,"$2,547.00","274,038",0,"274,038",0,"$2,546.88","273,960",46,0.00%,#DIV/0!,0.00%,0.03%,-100.00%,TRUE,NA,NA,NA,FALSE,"Platform discrepancy, no concerns here",FALSE,,
